epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.0057,1.60615,2.75104,1.34299,0.67643,0.40852,0.4728,0.25605,1.52887,1.98342,1.27759,0.000330846,0.000330846,0.000330846
2,92.3763,1.46128,1.74518,1.23562,0.60871,0.70481,0.6078,0.3575,1.49065,1.56148,1.28386,0.000657604,0.000657604,0.000657604
3,134.38,1.44418,1.50048,1.22775,0.92156,0.56404,0.65932,0.33694,1.54163,1.45312,1.25538,0.000977762,0.000977762,0.000977762
4,175.876,1.40823,1.29592,1.20621,0.72671,0.65594,0.70107,0.38639,1.49536,1.18325,1.26962,0.0009703,0.0009703,0.0009703
5,217.54,1.35851,1.13351,1.17942,0.78651,0.73482,0.77089,0.41739,1.44617,1.05426,1.25925,0.0009604,0.0009604,0.0009604
6,259.908,1.374,1.06783,1.19759,0.80773,0.75307,0.79402,0.43352,1.46006,1.05381,1.21325,0.0009505,0.0009505,0.0009505
7,301.446,1.32472,1.00482,1.17937,0.83797,0.7107,0.77044,0.46172,1.34659,0.98,1.19774,0.0009406,0.0009406,0.0009406
8,343.03,1.3314,0.96168,1.17744,0.84362,0.75184,0.76504,0.44166,1.31595,1.16889,1.17228,0.0009307,0.0009307,0.0009307
9,384.804,1.29372,0.94578,1.15735,0.75226,0.8143,0.81143,0.47552,1.2893,0.94111,1.14999,0.0009208,0.0009208,0.0009208
10,428.72,1.29429,0.92852,1.15425,0.87841,0.77149,0.80515,0.47933,1.33116,0.89455,1.12739,0.0009109,0.0009109,0.0009109
11,471.334,1.27787,0.88647,1.14886,0.80865,0.7818,0.8405,0.48961,1.31387,1.29178,1.15692,0.000901,0.000901,0.000901
12,513.302,1.26965,0.85075,1.13937,0.75585,0.80611,0.79828,0.47019,1.335,0.90376,1.13751,0.0008911,0.0008911,0.0008911
13,555.598,1.25533,0.82972,1.13164,0.8957,0.77797,0.80556,0.47195,1.28903,0.95056,1.10604,0.0008812,0.0008812,0.0008812
14,597.577,1.23468,0.815,1.12198,0.88396,0.81143,0.8439,0.49867,1.25473,0.922,1.1391,0.0008713,0.0008713,0.0008713
15,639.543,1.24241,0.80423,1.13261,0.8894,0.73788,0.77564,0.46776,1.34943,0.93198,1.13605,0.0008614,0.0008614,0.0008614
16,682.856,1.21776,0.79864,1.12351,0.93925,0.7994,0.8552,0.50357,1.32181,0.84486,1.10245,0.0008515,0.0008515,0.0008515
17,724.858,1.23506,0.79305,1.1205,0.93055,0.80867,0.84093,0.50658,1.2842,0.77968,1.12569,0.0008416,0.0008416,0.0008416
18,767.904,1.22685,0.78252,1.11514,0.84765,0.85351,0.85919,0.51647,1.24824,0.75463,1.08427,0.0008317,0.0008317,0.0008317
19,810.851,1.21123,0.77499,1.11888,0.90807,0.79882,0.84022,0.5006,1.32724,0.7783,1.1339,0.0008218,0.0008218,0.0008218
20,853.422,1.20516,0.74922,1.11224,0.87523,0.8471,0.86908,0.53447,1.2654,0.77764,1.09877,0.0008119,0.0008119,0.0008119
21,895.616,1.19687,0.73957,1.11559,0.9167,0.81502,0.85935,0.49716,1.36761,0.78099,1.13833,0.000802,0.000802,0.000802
22,937.948,1.21111,0.76279,1.11935,0.91143,0.8384,0.88016,0.53273,1.31859,0.77739,1.12076,0.0007921,0.0007921,0.0007921
23,981.125,1.1969,0.73421,1.10521,0.85094,0.85591,0.86133,0.50365,1.34158,0.76025,1.14119,0.0007822,0.0007822,0.0007822
24,1023.26,1.19888,0.72872,1.10531,0.88512,0.84782,0.88566,0.53258,1.22212,0.73354,1.12061,0.0007723,0.0007723,0.0007723
25,1066.22,1.17495,0.72911,1.10834,0.91043,0.83003,0.85604,0.52019,1.29323,0.76717,1.13075,0.0007624,0.0007624,0.0007624
26,1109.11,1.17811,0.72206,1.10654,0.86452,0.87236,0.86065,0.54159,1.25472,0.72859,1.06696,0.0007525,0.0007525,0.0007525
27,1151.43,1.18253,0.71673,1.10328,0.84993,0.84487,0.85633,0.52463,1.22652,0.74534,1.07356,0.0007426,0.0007426,0.0007426
28,1193.52,1.18214,0.71623,1.10282,0.93895,0.84625,0.88312,0.54558,1.19759,0.72507,1.05663,0.0007327,0.0007327,0.0007327
29,1236.49,1.17444,0.70721,1.09839,0.85852,0.86655,0.88172,0.54418,1.19019,0.69991,1.06531,0.0007228,0.0007228,0.0007228
30,1279.49,1.16455,0.70198,1.09376,0.86538,0.86883,0.88409,0.54337,1.23748,0.73036,1.08375,0.0007129,0.0007129,0.0007129
31,1321.84,1.16189,0.702,1.10008,0.92388,0.84937,0.89001,0.5516,1.22393,0.68059,1.08252,0.000703,0.000703,0.000703
32,1365.13,1.14797,0.69073,1.09058,0.90602,0.86578,0.88979,0.54602,1.21296,0.7061,1.0812,0.0006931,0.0006931,0.0006931
33,1409.61,1.13674,0.66877,1.08937,0.93327,0.83894,0.88232,0.54693,1.24309,0.73973,1.08441,0.0006832,0.0006832,0.0006832
34,1452.96,1.15492,0.6812,1.08926,0.9539,0.83454,0.87646,0.54818,1.20408,0.72201,1.1016,0.0006733,0.0006733,0.0006733
35,1496.39,1.13661,0.66483,1.08831,0.91316,0.86248,0.89396,0.55089,1.21912,0.67799,1.0833,0.0006634,0.0006634,0.0006634
36,1538.7,1.12982,0.67078,1.09024,0.94919,0.86513,0.89416,0.5593,1.20803,0.65323,1.0755,0.0006535,0.0006535,0.0006535
37,1581.1,1.14146,0.65913,1.09245,0.96514,0.86245,0.88804,0.5589,1.19418,0.67859,1.07002,0.0006436,0.0006436,0.0006436
38,1624.27,1.14031,0.65252,1.09081,0.9081,0.84718,0.87583,0.53558,1.22357,0.67807,1.09635,0.0006337,0.0006337,0.0006337
39,1667.78,1.12312,0.64364,1.08049,0.92473,0.88144,0.88739,0.5631,1.19927,0.6552,1.0757,0.0006238,0.0006238,0.0006238
40,1711.06,1.12578,0.64967,1.08687,0.91359,0.88871,0.89427,0.55286,1.19251,0.68157,1.07969,0.0006139,0.0006139,0.0006139
41,1753.56,1.10573,0.64644,1.07017,0.92717,0.85899,0.89071,0.5538,1.19311,0.68048,1.06995,0.000604,0.000604,0.000604
42,1797.05,1.12007,0.64526,1.07796,0.92638,0.85365,0.89621,0.56705,1.18918,0.67811,1.06802,0.0005941,0.0005941,0.0005941
43,1839.48,1.10084,0.63657,1.07754,0.87219,0.87069,0.88233,0.55804,1.19353,0.65898,1.08701,0.0005842,0.0005842,0.0005842
44,1882.4,1.10536,0.63071,1.07741,0.93905,0.86163,0.89009,0.56296,1.18499,0.66143,1.06938,0.0005743,0.0005743,0.0005743
45,1925.97,1.08701,0.63075,1.07242,0.93424,0.87391,0.90502,0.56743,1.20535,0.6572,1.08676,0.0005644,0.0005644,0.0005644
46,1968.57,1.10098,0.62102,1.06936,0.95446,0.86423,0.90115,0.5678,1.18395,0.63874,1.08148,0.0005545,0.0005545,0.0005545
47,2010.97,1.09357,0.61578,1.07762,0.9167,0.86005,0.8897,0.55827,1.23442,0.63559,1.06989,0.0005446,0.0005446,0.0005446
48,2055.29,1.09014,0.61568,1.06542,0.91373,0.88382,0.90889,0.57998,1.18073,0.61965,1.06297,0.0005347,0.0005347,0.0005347
49,2097.88,1.09146,0.61577,1.07078,0.92001,0.85952,0.89342,0.5757,1.16581,0.62051,1.04849,0.0005248,0.0005248,0.0005248
50,2140.74,1.08768,0.6172,1.06988,0.94875,0.86064,0.89615,0.57837,1.18856,0.66842,1.07078,0.0005149,0.0005149,0.0005149
51,2183.67,1.08026,0.60794,1.06982,0.92196,0.86798,0.91088,0.55999,1.22013,0.63411,1.09927,0.000505,0.000505,0.000505
52,2226.17,1.0769,0.60891,1.06423,0.95379,0.87594,0.9136,0.56163,1.22181,0.64306,1.09502,0.0004951,0.0004951,0.0004951
53,2268.7,1.07143,0.60937,1.07071,0.92097,0.89203,0.9039,0.5697,1.18205,0.61606,1.06313,0.0004852,0.0004852,0.0004852
54,2312.32,1.04683,0.60004,1.05038,0.93095,0.89103,0.92107,0.58195,1.20077,0.61305,1.07418,0.0004753,0.0004753,0.0004753
55,2355.81,1.06519,0.59153,1.05835,0.90645,0.87644,0.90957,0.58574,1.15962,0.6465,1.05163,0.0004654,0.0004654,0.0004654
56,2398.1,1.07075,0.59854,1.06977,0.93299,0.88629,0.91509,0.58115,1.15995,0.6149,1.06647,0.0004555,0.0004555,0.0004555
57,2441.19,1.07897,0.59138,1.06839,0.91922,0.88041,0.90332,0.59162,1.18578,0.64653,1.061,0.0004456,0.0004456,0.0004456
58,2483.24,1.06249,0.59398,1.05669,0.93683,0.87891,0.90444,0.58245,1.19292,0.61059,1.0819,0.0004357,0.0004357,0.0004357
59,2525.68,1.04867,0.58151,1.04699,0.94097,0.89809,0.91239,0.59625,1.16079,0.59534,1.03976,0.0004258,0.0004258,0.0004258
60,2568.94,1.05591,0.58203,1.05368,0.94223,0.88153,0.91769,0.59365,1.18081,0.61604,1.05341,0.0004159,0.0004159,0.0004159
61,2611.47,1.03975,0.56147,1.05021,0.93865,0.89246,0.9173,0.58614,1.15351,0.59431,1.04154,0.000406,0.000406,0.000406
62,2653.85,1.05213,0.57581,1.06084,0.94024,0.89283,0.91457,0.59449,1.16058,0.60066,1.0434,0.0003961,0.0003961,0.0003961
63,2698.36,1.04487,0.57503,1.05545,0.93373,0.89,0.92051,0.58918,1.16172,0.58724,1.03762,0.0003862,0.0003862,0.0003862
64,2741.35,1.03501,0.57242,1.04494,0.95458,0.87424,0.91102,0.58393,1.19292,0.60783,1.0678,0.0003763,0.0003763,0.0003763
65,2784.36,1.04382,0.56599,1.04866,0.9361,0.8838,0.90611,0.58402,1.16645,0.59595,1.05826,0.0003664,0.0003664,0.0003664
66,2828.26,1.03186,0.56072,1.04114,0.93832,0.8933,0.91484,0.59339,1.17844,0.5928,1.05461,0.0003565,0.0003565,0.0003565
67,2870.83,1.04099,0.56915,1.05417,0.94222,0.89056,0.92296,0.59645,1.15123,0.60839,1.04124,0.0003466,0.0003466,0.0003466
68,2913.53,1.03056,0.5528,1.05407,0.93835,0.89332,0.92584,0.60223,1.13718,0.59799,1.0295,0.0003367,0.0003367,0.0003367
69,2957.15,1.02403,0.55077,1.04435,0.92924,0.88734,0.91726,0.5858,1.15446,0.58728,1.0405,0.0003268,0.0003268,0.0003268
70,2999.69,1.01227,0.54398,1.0419,0.93628,0.87806,0.90871,0.58416,1.13789,0.59307,1.03057,0.0003169,0.0003169,0.0003169
71,3042.49,1.0027,0.54452,1.04284,0.95058,0.87503,0.92911,0.59575,1.1486,0.58569,1.03851,0.000307,0.000307,0.000307
72,3086.06,1.01138,0.54594,1.03868,0.92904,0.88533,0.92037,0.59721,1.12252,0.60516,1.02201,0.0002971,0.0002971,0.0002971
73,3128.51,1.01748,0.5451,1.04277,0.94698,0.89235,0.92722,0.597,1.12301,0.59444,1.01689,0.0002872,0.0002872,0.0002872
74,3170.64,1.022,0.54057,1.04886,0.96401,0.87878,0.9168,0.59815,1.14493,0.58516,1.02723,0.0002773,0.0002773,0.0002773
75,3213.29,1.00618,0.53674,1.04179,0.96219,0.88796,0.92858,0.59186,1.16268,0.56729,1.05613,0.0002674,0.0002674,0.0002674
76,3256.74,0.99419,0.52734,1.04083,0.9607,0.87332,0.91421,0.59223,1.14896,0.59195,1.04489,0.0002575,0.0002575,0.0002575
